"valence","tempo","duration_ms"
0.869,104.588,161133
0.197,175.103,230400
0.336,62.538,213200
0.455,140.021,218973
0.518,140.004,208973
0.0579,95.027,227373
0.543,97.022,214253
0.5,102.06,205253
0.48,191.074,190760
0.217,81.949,256027
0.491,149.952,204667
0.799,97.012,199853
0.146,119.994,202093
0.174,168.374,185093
0.872,93.251,193853
0.642,127.752,213200
0.342,95.045,214293
0.508,80.023,177800
0.681,103.956,168987
0.334,129.931,192760
0.532,100.005,241347
0.473,120.018,203987
0.876,109.988,197000
0.521,91.807,127653
0.184,119.995,459050
0.606,120.007,348291
0.0739,119.976,283951
0.0737,143.43,306991
0.115,120.047,406126
0.136,96.688,321776
0.193,137.989,459180
0.0395,79.069,182648
0.0644,100.031,220918
0.457,138.014,502648
0.233,159.983,333087
0.303,138.016,455680
0.515,122.774,188571
0.52,108.94,178583
0.455,172.985,404860
0.528,171.989,295934
0.264,171.997,290353
0.348,87.378,232713
0.408,146.016,250058
0.954,113.26,184229
0.496,89.975,226337
0.382,151.127,292504
0.123,76.997,287880
0.314,145.21,234007
0.689,94.056,247897
0.512,132.806,247735
0.262,91.569,170222
0.232,82.657,114651
0.427,105.982,186305
0.723,134.014,188134
0.355,84.509,209058
0.202,75.955,40438
0.244,127.459,183458
0.311,108.931,158198
0.796,130.982,240065
0.197,114.157,270002
0.165,126.078,208836
0.0521,160.103,209800
0.267,131.399,151000
0.364,76.004,212587
0.271,155.989,217467
0.288,159.999,269987
0.223,155.926,290227
0.439,136.964,275093
0.146,132.714,310467
0.182,147.956,335213
0.128,134.887,267387
0.117,161.953,382893
0.368,159.878,203058
0.186,159.439,271000
0.0912,157.379,221430
0.399,134.231,176764
0.152,134.938,241658
0.0915,169.889,396591
0.0767,120.022,259896
0.198,128.009,322949
0.177,138.035,205548
0.546,74.91,204043
0.205,129.968,324903
0.0389,119.979,204369
0.574,119.049,247000
0.662,130.075,208500
0.328,131.942,267981
0.752,128.006,138500
0.817,127.989,272813
0.811,139.944,153000
0.558,131.984,272727
0.556,110.016,161455
0.961,134.072,138500
0.203,84.921,182500
0.404,117.04,245744
0.597,100.02,148260
0.824,125.916,157153
0.212,126.958,162040
0.903,94.99,207686
0.658,156.005,211467
0.513,122.945,179027
0.776,173.966,195760
0.0723,122.953,34859
0.738,155.966,193877
0.402,99.997,179541
0.683,87.996,214500
0.788,122.976,194645
0.201,114.947,195456
0.227,125.32,264567
0.497,99.965,231505
0.141,100.146,75435
0.583,118.027,212639
0.292,84.763,138027
0.334,112.281,468893
0.148,116.552,557680
0.0439,65.922,209120
0.28,88.38,273707
0.0599,122.775,246440
0.13,108.037,406211
0.363,138.002,563478
0.359,110.051,257071
0.3,145.887,260075
0.507,130.043,232307
0.148,139.938,220500
0.882,118.973,54634
