"loudness","mode","speechiness"
-13.475,1,0.792
-24.554,1,0.18
-18.512,1,0.427
-13.809,1,0.174
-15.622,1,0.279
-16.081,1,0.0992
-25.635,1,0.19
-21.036,1,0.245
-21.96,1,0.197
-11.47,1,0.16
-22.564,1,0.486
-17.494,1,0.0735
-15.178,1,0.0906
-27.596,1,0.207
-15.576,1,0
-24.859,1,0.0443
-28.489,0,0.0561
-23.173,0,0.0441
-24.681,0,0.0453
-28.799,0,0.0587
-26.934,0,0.0547
-22.128,1,0.045
-23.856,1,0.0535
-29.478,1,0.0513
-22.199,0,0.0495
-23.163,1,0.0446
-29.291,0,0.0539
-24.205,0,0.0399
-24.308,0,0.0412
-28.865,0,0.0471
-23.426,1,0.038
-29.718,0,0.0416
-23.619,1,0.0445
-19.357,1,0.0441
-25.317,1,0.0449
-28.255,1,0.0477
-22.294,1,0.0469
-13.707,1,0.0389
-9.14,1,0.0321
-10.292,0,0.0364
-9.427,1,0.246
-7.168,1,0.03
-9.04,0,0.0486
-13.292,1,0.0471
-9.449,1,0.028
-8.914,1,0.0291
-11.515,1,0.0563
-8.869,1,0.0559
-10.767,1,0.028
-10.461,1,0.0304
-8.808,1,0.035
-10.084,1,0.0323
-10.823,1,0.0379
-5.671,0,0.0306
-10.033,1,0.0328
-11.328,1,0.0345
-6.909,1,0.0281
-10.357,1,0.0297
-10.34,1,0.0443
-11.877,1,0.029
-6.451,1,0.0339
-11.579,1,0.0348
-11.624,1,0.0273
-16.585,1,0.0408
-19.685,1,0.0359
-23.76,0,0.0368
-29.564,1,0.0344
-18.092,0,0.0415
-17.821,1,0.0559
-20.291,1,0.0384
-16.203,0,0.0431
-18.936,1,0.064
-19.396,1,0.0416
-18.705,1,0.0382
-22.284,1,0.0408
-20.473,1,0.0412
-21.553,0,0.0449
-16.065,1,0.0413
-17.604,0,0.0416
-21.097,1,0.0437
-23.798,0,0.0411
-19.892,1,0.0388
-14.726,0,0.111
-12.555,1,0.0487
-13.849,0,0.052
-14.568,0,0.0451
-12.573,1,0.0426
-16.03,0,0.0405
-15.381,1,0.0372
-14.019,0,0.0427
-8.54,1,0.0441
-8.269,1,0.0298
-6.449,1,0.0536
-6.737,1,0.0321
-6.933,1,0.0333
-5.363,1,0.0455
-5.93,1,0.0287
-6.911,1,0.0425
-7.125,1,0.0386
-6.809,1,0.0285
-5.816,1,0.0455
-6.953,1,0.0421
-7.659,0,0.0494
-10.34,1,0.0292
-7.871,0,0.0307
-10.367,1,0.0278
-8.497,1,0.0244
-10.009,1,0.0297
-7.623,1,0.0365
-9.32,1,0.0365
-9.457,0,0.0402
-8.572,1,0.032
-12.14,1,0.0293
-12.198,1,0.0399
-9.759,1,0.0291
-9.113,1,0.0321
-7.859,1,0.0297
-8.576,0,0.0302
-6.842,1,0.0329
-7.439,0,0.0436
-7.394,0,0.0267
-7.818,1,0.033
-27.391,1,0.0441
-21.131,1,0.0366
-18.327,0,0.0408
-22.218,1,0.0408
-22.465,0,0.059
-26.579,1,0.0456
-27.801,1,0.0445
-20.634,0,0.039
-25.821,1,0.0448
-22.631,0,0.0374
-22.127,1,0.0516
-24.178,1,0.0463
-23.781,0,0.0393
-24.956,0,0.0487
-26.636,1,0.0445
-24.968,0,0.0493
-20.039,0,0.0382
-19.221,0,0.0392
-18.936,1,0.0492
-19.304,1,0.0515
